asset_id,source_package,original_path,file_name,file_ext,file_size,content_hash,category,target_module,convert_required,parse_status,parse_error
A000035,政策文件（本省）.zip,政策文件（本省）/价格招采处/医疗服务价格/33批发文稿.rar,33批发文稿.rar,.rar,27885312,zip:0b8290900ee41deed863adab647f7edcf9b718f7370d5da9be77975a8c251c04:3356589210,project_catalog_or_price,data_ingestion,yes,needs_convert,
A000062,政策文件（本省）.zip,政策文件（本省）/价格招采处/医疗服务价格/2024年/青医保局发2024 62号/青海省新增医疗服务价格项目申报材料.doc,青海省新增医疗服务价格项目申报材料.doc,.doc,444448,zip:0b8290900ee41deed863adab647f7edcf9b718f7370d5da9be77975a8c251c04:3614104890,project_catalog_or_price,data_ingestion,yes,needs_convert,
A000074,政策文件（本省）.zip,政策文件（本省）/价格招采处/医疗服务价格/2025年/青医保局函 2025 60号/关于调整放射检查类等医疗服务价格项目及医保支付类别的补充通知.doc,关于调整放射检查类等医疗服务价格项目及医保支付类别的补充通知.doc,.doc,183808,zip:0b8290900ee41deed863adab647f7edcf9b718f7370d5da9be77975a8c251c04:4114408160,project_catalog_or_price,data_ingestion,yes,needs_convert,
A000132,政策文件（本省）.zip,政策文件（本省）/协议（经办）/协议/青医保局发〔2023〕83号（关于印发青海省医疗保障定点医药机构服务协议（2024版）的通知）.doc,青医保局发〔2023〕83号（关于印发青海省医疗保障定点医药机构服务协议（2024版）的通知）.doc,.doc,231424,zip:0b8290900ee41deed863adab647f7edcf9b718f7370d5da9be77975a8c251c04:484662426,needs_conversion,data_ingestion,yes,needs_convert,
A000143,政策文件（本省）.zip,政策文件（本省）/飞检材料（医药服务管理处）/药品目录/2024/青医保办发〔2024〕23号（6个谈判药新增规格）不予公开/青医保办发23号（6个谈判药新增规格）不予公开.wps,青医保办发23号（6个谈判药新增规格）不予公开.wps,.wps,17920,zip:0b8290900ee41deed863adab647f7edcf9b718f7370d5da9be77975a8c251c04:2699123569,needs_conversion,data_ingestion,yes,needs_convert,
A000145,政策文件（本省）.zip,政策文件（本省）/飞检材料（医药服务管理处）/药品目录/2024/青医保办发〔2024〕36号（关于同意对青海省藏医院161种藏医医疗机构调剂制剂给予医保支付政策的批复）/青医保办发36号.wps,青医保办发36号.wps,.wps,18944,zip:0b8290900ee41deed863adab647f7edcf9b718f7370d5da9be77975a8c251c04:106327337,needs_conversion,data_ingestion,yes,needs_convert,
A000148,政策文件（本省）.zip,政策文件（本省）/飞检材料（医药服务管理处）/药品目录/2024/青医保办发〔2024〕55号（关于认定部分药品医保目录归属的通知）-不予公开/青医保办发〔2024〕55号（关于认定部分药品医保目录归属的通知）-不予公开.wps,青医保办发〔2024〕55号（关于认定部分药品医保目录归属的通知）-不予公开.wps,.wps,17408,zip:0b8290900ee41deed863adab647f7edcf9b718f7370d5da9be77975a8c251c04:2240786108,needs_conversion,data_ingestion,yes,needs_convert,
A000150,政策文件（本省）.zip,政策文件（本省）/飞检材料（医药服务管理处）/药品目录/2024/青医保办发〔2024〕57号（3个谈判药品新增规格及医保支付标准的通知）—不予公开/青医保办发〔2024〕57号（关于复方氨基酸注射液（14AA-SF）等3个药品新增规格及医保支付标准的通知）—不予公开.wps,青医保办发〔2024〕57号（关于复方氨基酸注射液（14AA-SF）等3个药品新增规格及医保支付标准的通知）—不予公开.wps,.wps,16896,zip:0b8290900ee41deed863adab647f7edcf9b718f7370d5da9be77975a8c251c04:3983850179,needs_conversion,data_ingestion,yes,needs_convert,
A000152,政策文件（本省）.zip,政策文件（本省）/飞检材料（医药服务管理处）/药品目录/2024/青医保办发〔2024〕92号（关于确定国家集中带量采购中选品种同通用名药品医保支付标准的通知）/附件.et,附件.et,.et,269312,zip:0b8290900ee41deed863adab647f7edcf9b718f7370d5da9be77975a8c251c04:2608063992,needs_conversion,data_ingestion,yes,needs_convert,
A000153,政策文件（本省）.zip,政策文件（本省）/飞检材料（医药服务管理处）/药品目录/2024/青医保办发〔2024〕92号（关于确定国家集中带量采购中选品种同通用名药品医保支付标准的通知）/青医保办发〔2024〕92号（关于确定国家集中带量采购中选品种同通用名药品医保支付标准的通知）.wps,青医保办发〔2024〕92号（关于确定国家集中带量采购中选品种同通用名药品医保支付标准的通知）.wps,.wps,19456,zip:0b8290900ee41deed863adab647f7edcf9b718f7370d5da9be77975a8c251c04:1637784490,needs_conversion,data_ingestion,yes,needs_convert,
